"doctor_id","clinic_id","doctor_name","doctor_gender","doctor_specialty","doctor_consultation_fee"
"DOC000116","CLN00076","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000117","CLN00077","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000118","CLN00078","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000119","CLN00079","dr. Ana Sitompul, Sp.THT","P","THT",1e+05
"DOC000120","CLN00073","dr. Anastasia Laksmiwati","P","Umum",60000
"DOC000121","CLN00074","dr. Anastasia Laksmiwati","P","Umum",60000
"DOC000122","CLN00075","dr. Anastasia Laksmiwati","P","Umum",60000
"DOC000123","CLN00076","dr. Anastasia Laksmiwati","P","Umum",60000
"DOC000124","CLN00079","dr. Anastasia Laksmiwati","P","Umum",60000
"DOC000125","CLN00003","dr. Anastasia Maryadi","P","Umum",50000
"DOC000126","CLN00011","dr. Anastasia Maryati","P","Umum",50000
"DOC000127","CLN00012","dr. Anastasia Maryati","P","Umum",50000
"DOC000128","CLN00015","dr. Anastasia Wibowo","P","Umum",50000
"DOC000129","CLN00016","dr. Anastasia Wibowo","P","Umum",50000
"DOC000130","CLN00017","dr. Anastasia Wibowo","P","Umum",50000
"DOC000131","CLN00015","dr. Anastasia Yuliarti","P","Umum",50000
"DOC000132","CLN00001","dr. Ani Riyanti","P","Umum",50000
"DOC000133","CLN00002","dr. Ani Riyanti","P","Umum",50000
"DOC000134","CLN00060","dr. Ani Situmorang","P","Umum",50000
"DOC000135","CLN00084","dr. Anita Narpati","P","Umum",50000
"DOC000136","CLN00042","dr. Argono Mulyani","L","Umum",50000
"DOC000137","CLN00044","dr. Argono Mulyani","L","Umum",50000
"DOC000138","CLN00048","dr. Argono Mulyani","L","Umum",50000
"DOC000139","CLN00049","dr. Argono Mulyani","L","Umum",50000
"DOC000140","CLN00080","dr. Aris Utami","L","Umum",50000
"DOC000141","CLN00081","dr. Aris Utami","L","Umum",50000
"DOC000142","CLN00001","dr. Arsipatra Fujiati","L","Umum",50000
"DOC000143","CLN00073","dr. Arsipatra Usada, Sp.PD","L","Penyakit Dalam",90000
"DOC000144","CLN00079","dr. Arsipatra Usada, Sp.PD","L","Penyakit Dalam",90000
"DOC000145","CLN00071","dr. Arta Uwais, Sp.A","L","Anak",90000
"DOC000146","CLN00073","dr. Arta Uwais, Sp.A","L","Anak",90000
"DOC000147","CLN00075","dr. Arta Uwais, Sp.A","L","Anak",90000
"DOC000148","CLN00077","dr. Arta Uwais, Sp.A","L","Anak",90000
"DOC000149","CLN00012","dr. Artanto Yuliarti","L","Umum",50000
"DOC000150","CLN00013","dr. Artanto Yuliarti","L","Umum",50000
"DOC000151","CLN00003","dr. Artawan Narpati, Sp.THT","L","THT",80000
"DOC000152","CLN00004","dr. Artawan Narpati, Sp.THT","L","THT",80000
"DOC000153","CLN00062","dr. Asirwada Fujiati, Sp.PD","L","Penyakit Dalam",80000
"DOC000154","CLN00063","dr. Asirwada Fujiati, Sp.PD","L","Penyakit Dalam",80000
"DOC000155","CLN00071","dr. Asirwada Marpaung, Sp.PD","L","Penyakit Dalam",90000
"DOC000156","CLN00073","dr. Asirwada Marpaung, Sp.PD","L","Penyakit Dalam",90000
"DOC000157","CLN00076","dr. Asirwada Marpaung, Sp.PD","L","Penyakit Dalam",90000
"DOC000158","CLN00077","dr. Asirwada Marpaung, Sp.PD","L","Penyakit Dalam",90000
"DOC000159","CLN00004","dr. Asirwada Nugroho","L","Umum",50000
"DOC000160","CLN00052","dr. Asirwada Wibisono, Sp.PD","L","Penyakit Dalam",80000
"DOC000161","CLN00071","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000162","CLN00072","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000163","CLN00073","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000164","CLN00074","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000165","CLN00075","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000166","CLN00076","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000167","CLN00077","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000168","CLN00078","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000169","CLN00079","dr. Asirwanda Setiawan, Sp.KK","L","Kulit & Kelamin",1e+05
"DOC000170","CLN00003","dr. Aslijan Usada","L","Umum",50000
"DOC000171","CLN00004","dr. Aslijan Usada","L","Umum",50000
"DOC000172","CLN00052","dr. Asmadi Tamba, Sp.KK","L","Kulit & Kelamin",90000
"DOC000173","CLN00053","dr. Asmadi Tamba, Sp.KK","L","Kulit & Kelamin",90000
"DOC000174","CLN00054","dr. Asmadi Tamba, Sp.KK","L","Kulit & Kelamin",90000
"DOC000175","CLN00055","dr. Asmadi Tamba, Sp.KK","L","Kulit & Kelamin",90000
"DOC000176","CLN00056","dr. Asmadi Tamba, Sp.KK","L","Kulit & Kelamin",90000
"DOC000177","CLN00019","dr. Asmadi Widiastuti","L","Umum",50000
"DOC000178","CLN00053","dr. Asman Andriani, Sp.A","L","Anak",80000
"DOC000179","CLN00054","dr. Asman Andriani, Sp.A","L","Anak",80000
"DOC000180","CLN00015","dr. Asman Ardianto","L","Umum",50000
"DOC000181","CLN00016","dr. Asman Ardianto","L","Umum",50000
"DOC000182","CLN00071","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000183","CLN00072","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000184","CLN00073","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000185","CLN00074","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000186","CLN00075","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000187","CLN00076","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000188","CLN00077","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000189","CLN00078","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000190","CLN00079","dr. Asmianto Rahayu, Sp.THT","L","THT",1e+05
"DOC000191","CLN00022","dr. Atmaja Dabukke","L","Umum",50000
"DOC000192","CLN00027","dr. Atmaja Dabukke","L","Umum",50000
"DOC000193","CLN00041","dr. Aurora Anggraini","P","Umum",50000
"DOC000194","CLN00042","dr. Aurora Anggraini","P","Umum",50000
"DOC000195","CLN00043","dr. Aurora Anggraini","P","Umum",50000
"DOC000196","CLN00048","dr. Aurora Anggraini","P","Umum",50000
"DOC000197","CLN00063","dr. Aurora Halim","P","Umum",50000
"DOC000198","CLN00022","dr. Ayu Budiman, Sp.A","P","Anak",80000
"DOC000199","CLN00023","dr. Ayu Budiman, Sp.A","P","Anak",80000
"DOC000200","CLN00025","dr. Ayu Budiman, Sp.A","P","Anak",80000
"DOC000201","CLN00001","dr. Ayu Fujiati, Sp.OG","P","Obgyn",1e+05
"DOC000202","CLN00022","dr. Ayu Samosir, Sp.OG","P","Obgyn",1e+05
"DOC000203","CLN00023","dr. Ayu Samosir, Sp.OG","P","Obgyn",1e+05
"DOC000204","CLN00024","dr. Ayu Samosir, Sp.OG","P","Obgyn",1e+05
"DOC000205","CLN00025","dr. Ayu Samosir, Sp.OG","P","Obgyn",1e+05
"DOC000206","CLN00026","dr. Ayu Samosir, Sp.OG","P","Obgyn",1e+05
"DOC000207","CLN00027","dr. Ayu Samosir, Sp.OG","P","Obgyn",1e+05
"DOC000208","CLN00069","dr. Ayu Yulianti","P","Umum",50000
"DOC000209","CLN00085","dr. Ayu Yuniar","P","Umum",50000
"DOC000210","CLN00086","dr. Ayu Yuniar","P","Umum",50000
"DOC000211","CLN00033","dr. Azalea Dongoran","P","Umum",60000
"DOC000212","CLN00034","dr. Azalea Dongoran","P","Umum",60000
"DOC000213","CLN00035","dr. Azalea Dongoran","P","Umum",60000
"DOC000214","CLN00036","dr. Azalea Dongoran","P","Umum",60000
"DOC000215","CLN00037","dr. Azalea Dongoran","P","Umum",60000
"DOC000216","CLN00039","dr. Azalea Dongoran","P","Umum",60000
"DOC000217","CLN00029","dr. Azalea Laksita","P","Umum",50000
"DOC000218","CLN00004","dr. Azalea Maryati","P","Umum",50000
"DOC000219","CLN00029","dr. Bagas Tampubolon, Sp.PD","L","Penyakit Dalam",80000
"DOC000220","CLN00031","dr. Bagas Tampubolon, Sp.PD","L","Penyakit Dalam",80000
"DOC000221","CLN00028","dr. Bagus Saragih","L","Umum",50000
"DOC000222","CLN00029","dr. Bagus Sihombing, Sp.OG","L","Obgyn",1e+05
"DOC000223","CLN00030","dr. Bagus Sihombing, Sp.OG","L","Obgyn",1e+05
"DOC000224","CLN00031","dr. Bagus Sihombing, Sp.OG","L","Obgyn",1e+05
"DOC000225","CLN00020","dr. Bagya Novitasari","L","Umum",50000
"DOC000226","CLN00021","dr. Bagya Novitasari","L","Umum",50000
"DOC000227","CLN00084","dr. Bagya Waluyo","L","Umum",50000
"DOC000228","CLN00085","dr. Bagya Waluyo","L","Umum",50000
"DOC000229","CLN00086","dr. Bagya Waluyo","L","Umum",50000
"DOC000230","CLN00004","dr. Bahuraksa Puspasari","L","Umum",50000
"DOC000231","CLN00063","dr. Bahuwarna Budiman, Sp.PD","L","Penyakit Dalam",80000
"DOC000232","CLN00001","dr. Bahuwarna Mustofa, Sp.THT","L","THT",80000
"DOC000233","CLN00002","dr. Bahuwarna Mustofa, Sp.THT","L","THT",80000
"DOC000234","CLN00073","dr. Bahuwarna Napitupulu","L","Umum",60000
"DOC000235","CLN00075","dr. Bahuwarna Napitupulu","L","Umum",60000
"DOC000236","CLN00001","dr. Bahuwarna Nurdiyanti, Sp.A","L","Anak",80000
"DOC000237","CLN00002","dr. Bahuwarna Nurdiyanti, Sp.A","L","Anak",80000
"DOC000238","CLN00006","dr. Bajragin Habibi","L","Umum",60000
"DOC000239","CLN00008","dr. Bajragin Habibi","L","Umum",60000
"DOC000240","CLN00010","dr. Bajragin Habibi","L","Umum",60000
"DOC000241","CLN00017","dr. Bakiadi Yulianti, Sp.PD","L","Penyakit Dalam",80000
"DOC000242","CLN00018","dr. Bakiadi Yulianti, Sp.PD","L","Penyakit Dalam",80000
"DOC000243","CLN00016","dr. Bakianto Narpati, Sp.PD","L","Penyakit Dalam",80000
"DOC000244","CLN00017","dr. Bakianto Narpati, Sp.PD","L","Penyakit Dalam",80000
"DOC000245","CLN00030","dr. Bakidin Hutasoit","L","Umum",50000
"DOC000246","CLN00032","dr. Bakidin Hutasoit","L","Umum",50000
"DOC000247","CLN00006","dr. Bakidin Setiawan","L","Umum",60000
"DOC000248","CLN00007","dr. Bakidin Setiawan","L","Umum",60000
"DOC000249","CLN00008","dr. Bakidin Setiawan","L","Umum",60000
"DOC000250","CLN00001","dr. Bakidin Wahyuni","L","Umum",50000
"DOC000251","CLN00052","dr. Bakijan Maryati, Sp.KK","L","Kulit & Kelamin",90000
"DOC000252","CLN00053","dr. Bakijan Maryati, Sp.KK","L","Kulit & Kelamin",90000
"DOC000253","CLN00054","dr. Bakijan Maryati, Sp.KK","L","Kulit & Kelamin",90000
"DOC000254","CLN00055","dr. Bakijan Maryati, Sp.KK","L","Kulit & Kelamin",90000
"DOC000255","CLN00056","dr. Bakijan Maryati, Sp.KK","L","Kulit & Kelamin",90000
"DOC000256","CLN00068","dr. Bakiman Kurniawan, Sp.PD","L","Penyakit Dalam",80000
"DOC000257","CLN00070","dr. Bakiman Kurniawan, Sp.PD","L","Penyakit Dalam",80000
"DOC000258","CLN00019","dr. Bakiman Mardhiyah, Sp.PD","L","Penyakit Dalam",80000
"DOC000259","CLN00020","dr. Bakiman Mardhiyah, Sp.PD","L","Penyakit Dalam",80000
"DOC000260","CLN00021","dr. Bakiman Mardhiyah, Sp.PD","L","Penyakit Dalam",80000
"DOC000261","CLN00016","dr. Bakiman Wulandari, Sp.OG","L","Obgyn",1e+05
"DOC000262","CLN00017","dr. Bakiman Wulandari, Sp.OG","L","Obgyn",1e+05
"DOC000263","CLN00018","dr. Bakiman Wulandari, Sp.OG","L","Obgyn",1e+05
"DOC000264","CLN00001","dr. Bakiono Oktaviani, Sp.OG","L","Obgyn",1e+05
"DOC000265","CLN00002","dr. Bakiono Oktaviani, Sp.OG","L","Obgyn",1e+05
"DOC000266","CLN00003","dr. Bakti Hassanah","L","Umum",50000
"DOC000267","CLN00050","dr. Baktiadi Mangunsong","L","Umum",50000
"DOC000268","CLN00068","dr. Baktiadi Sinaga, Sp.THT","L","THT",80000
"DOC000269","CLN00069","dr. Baktiadi Sinaga, Sp.THT","L","THT",80000
"DOC000270","CLN00070","dr. Baktiadi Sinaga, Sp.THT","L","THT",80000
"DOC000271","CLN00005","dr. Baktianto Astuti","L","Umum",60000
"DOC000272","CLN00006","dr. Baktianto Astuti","L","Umum",60000
"DOC000273","CLN00008","dr. Baktianto Astuti","L","Umum",60000
"DOC000274","CLN00009","dr. Baktianto Astuti","L","Umum",60000
"DOC000275","CLN00015","dr. Baktiono Kusumo, Sp.PD","L","Penyakit Dalam",80000
"DOC000276","CLN00016","dr. Baktiono Kusumo, Sp.PD","L","Penyakit Dalam",80000
"DOC000277","CLN00018","dr. Baktiono Kusumo, Sp.PD","L","Penyakit Dalam",80000
"DOC000278","CLN00072","dr. Balangga Suryatmi","L","Umum",60000
"DOC000279","CLN00073","dr. Balangga Suryatmi","L","Umum",60000
"DOC000280","CLN00075","dr. Balangga Suryatmi","L","Umum",60000
"DOC000281","CLN00016","dr. Balapati Suryono, Sp.PD","L","Penyakit Dalam",80000
"DOC000282","CLN00006","dr. Bambang Lestari","L","Umum",60000
"DOC000283","CLN00008","dr. Bambang Lestari","L","Umum",60000
"DOC000284","CLN00010","dr. Bambang Lestari","L","Umum",60000
"DOC000285","CLN00033","dr. Bambang Thamrin, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000286","CLN00034","dr. Bambang Thamrin, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000287","CLN00035","dr. Bambang Thamrin, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000288","CLN00036","dr. Bambang Thamrin, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000289","CLN00037","dr. Bambang Thamrin, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000290","CLN00039","dr. Bambang Thamrin, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000291","CLN00033","dr. Banara Dongoran, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000292","CLN00034","dr. Banara Dongoran, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000293","CLN00035","dr. Banara Dongoran, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000294","CLN00037","dr. Banara Dongoran, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000295","CLN00039","dr. Banara Dongoran, Sp.PD","L","Penyakit Dalam",1e+05
"DOC000296","CLN00016","dr. Banara Nasyiah","L","Umum",50000
"DOC000297","CLN00017","dr. Banara Nasyiah","L","Umum",50000
"DOC000298","CLN00050","dr. Banara Pratama, Sp.OG","L","Obgyn",1e+05
"DOC000299","CLN00051","dr. Banara Pratama, Sp.OG","L","Obgyn",1e+05
"DOC000300","CLN00019","dr. Belinda Adriansyah, Sp.THT","P","THT",80000
"DOC000301","CLN00020","dr. Belinda Adriansyah, Sp.THT","P","THT",80000
"DOC000302","CLN00021","dr. Belinda Adriansyah, Sp.THT","P","THT",80000
"DOC000303","CLN00062","dr. Belinda Habibi","P","Umum",50000
"DOC000304","CLN00063","dr. Belinda Habibi","P","Umum",50000
"DOC000305","CLN00011","dr. Bella Sirait","P","Umum",50000
"DOC000306","CLN00012","dr. Bella Sirait","P","Umum",50000
"DOC000307","CLN00014","dr. Bella Sirait","P","Umum",50000
"DOC000308","CLN00064","dr. Betania Mangunsong","P","Umum",50000
"DOC000309","CLN00065","dr. Betania Mangunsong","P","Umum",50000
"DOC000310","CLN00020","dr. Betania Sihombing","P","Umum",50000
"DOC000311","CLN00021","dr. Betania Sihombing","P","Umum",50000
"DOC000312","CLN00003","dr. Budi Astuti, Sp.KK","L","Kulit & Kelamin",80000
"DOC000313","CLN00004","dr. Budi Astuti, Sp.KK","L","Kulit & Kelamin",80000
"DOC000314","CLN00062","dr. Budi Oktaviani, Sp.A","L","Anak",80000
"DOC000315","CLN00063","dr. Budi Oktaviani, Sp.A","L","Anak",80000
"DOC000316","CLN00041","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000317","CLN00042","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000318","CLN00043","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000319","CLN00044","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000320","CLN00045","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000321","CLN00046","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000322","CLN00047","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000323","CLN00048","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000324","CLN00049","dr. Cagak Mandasari, Sp.THT","L","THT",80000
"DOC000325","CLN00050","dr. Cager Samosir","L","Umum",50000
"DOC000326","CLN00051","dr. Cager Samosir","L","Umum",50000
"DOC000327","CLN00018","dr. Cahya Kuswoyo","L","Umum",50000
"DOC000328","CLN00015","dr. Cahyanto Nurdiyanti, Sp.THT","L","THT",80000
"DOC000329","CLN00016","dr. Cahyanto Nurdiyanti, Sp.THT","L","THT",80000
"DOC000330","CLN00018","dr. Cahyanto Nurdiyanti, Sp.THT","L","THT",80000
"DOC000331","CLN00003","dr. Cahyo Hutapea, Sp.KK","L","Kulit & Kelamin",80000
"DOC000332","CLN00004","dr. Cahyo Hutapea, Sp.KK","L","Kulit & Kelamin",80000
"DOC000333","CLN00063","dr. Cahyo Novitasari","L","Umum",50000
"DOC000334","CLN00023","dr. Caket Pangestu, Sp.THT","L","THT",80000
"DOC000335","CLN00024","dr. Caket Pangestu, Sp.THT","L","THT",80000
"DOC000336","CLN00026","dr. Caket Pangestu, Sp.THT","L","THT",80000
"DOC000337","CLN00027","dr. Caket Pangestu, Sp.THT","L","THT",80000
